Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,ShortVol-Exempt
ANET,20200601,102061,609,169500,"B,Q,N",101452
EXPE,20200601,429658,4552,1107205,"B,Q,N",425106
CFG,20200601,356048,1817,661757,"B,Q,N",354231
SJM,20200601,173649,6465,279696,"B,Q,N",167184
WAB,20200601,108246,919,205257,"B,Q,N",107327
TIF,20200601,67569,2227,257028,"B,Q,N",65342
IEX,20200601,32985,0,74961,"B,Q,N",32985
LNT,20200601,58150,695,213070,"Q,N",57455
NLOK,20200601,1792062,90797,2990164,"B,Q,N",1701265
BF.B,20200601,97503,1097,190041,"Q,N",96406
J,20200601,139380,952,220277,"B,Q,N",138428
NVR,20200601,2550,134,3819,"B,Q,N",2416
CE,20200601,75645,2592,291643,"B,Q,N",73053
HAL,20200601,3113532,13080,7464612,"B,Q,N",3100452
IT,20200601,85331,1726,142166,"B,Q,N",83605
VAR,20200601,21126,100,76300,"Q,N",21026
SIVB,20200601,72638,502,153506,"B,Q,N",72136
PFG,20200601,111192,903,471694,"B,Q,N",110289
URI,20200601,97430,1482,183470,"B,Q,N",95948
PKI,20200601,53744,0,154836,"B,Q,N",53744
ETFC,20200601,112810,100,516923,"B,Q,N",112710
UDR,20200601,103237,2849,320949,"B,Q,N",100388
CBOE,20200601,50058,1200,126612,"B,Q,N",48858
MGM,20200601,4066233,127222,10511027,"B,Q,N",3939011
BKR,20200601,517870,12485,1031349,"B,Q,N",505385
CHRW,20200601,148053,10159,227472,"B,Q,N",137894
HBAN,20200601,713628,9522,1467632,"B,Q,N",704106
FOXA,20200601,340449,1947,618543,"B,Q,N",338502
XRAY,20200601,161846,4839,218695,"B,Q,N",157007
ABMD,20200601,69085,2,102702,"B,Q,N",69083
IR,20200601,363041,1922,880990,"B,Q,N",361119
DRI,20200601,218545,10089,584105,"B,Q,N",208456
NTAP,20200601,536268,8771,817006,"B,Q,N",527497
PKG,20200601,65919,400,101769,"Q,N",65519
CTL,20200601,1511346,10507,3071594,"B,Q,N",1500839
JBHT,20200601,75341,460,229174,"B,Q,N",74881
EMN,20200601,109617,699,171415,"Q,N",108918
ALLE,20200601,52871,900,110204,"B,Q,N",51971
AVY,20200601,48381,0,91404,"B,Q,N",48381
AAP,20200601,91432,11779,299415,"B,Q,N",79653
RCL,20200601,7864999,73108,11123798,"B,Q,N",7791891
WU,20200601,1141340,32762,1983832,"B,Q,N",1108578
HAS,20200601,109198,282,191619,"B,Q,N",108916
CINF,20200601,149210,2422,301185,"B,Q,N",146788
RJF,20200601,221550,0,262687,"B,Q,N",221550
LW,20200601,446467,1705,848798,"B,Q,N",444762
LKQ,20200601,86803,1129,355247,"B,Q,N",85674
HST,20200601,1460348,3772,4207077,"B,Q,N",1456576
L,20200601,142819,1638,237997,"Q,N",141181
HSIC,20200601,93549,1145,147489,"Q,N",92404
WYNN,20200601,564662,4836,1366535,"B,Q,N",559826
AES,20200601,903862,24324,1867872,"B,Q,N",879538
NI,20200601,183637,1100,546834,"B,Q,N",182537
MYL,20200601,1022713,8567,1606762,"B,Q,N",1014146
CNP,20200601,1180815,3552,1947439,"B,Q,N",1177263
NRG,20200601,113445,8105,338286,"B,Q,N",105340
PHM,20200601,238555,15500,668440,"B,Q,N",223055
